abaddon	âm ti, địa ngục
abaft	ở phía sau bánh lái, gần phía bánh lái
abalone	bào ngư
abandon	bỏ rơi
abandoned	bị bỏ rơi
abandoner	người rút đơn
abandonment	sự từ bỏ
abase	làm hạ phẩm giá
abasement	sự làm nhục
abash	làm bối rối
abashment	sự bối rối
abask	dưới ánh nắng
abatable	có thể làm dịu
abattoir	lò mổ
abbacy	chức vị trưởng tu viện
abjection	sự hèn hạ
abjectness	sự hèn hạ
able	có khả năng
boarder	học sinh nội trú
boarding	sự lót ván
body	thân thể
bodywork	thân xe
bog	vũng lây
boiling	sự sôi
bold	dũng cảm
bole	thân (cây)
boll	quả nang
bolt	cái sàng
bonus	tiền thưởng
boohoo	tiếng khóc hu hu
book	sách
cabbage	cải bắp
cabin	buồng ngủ
cable	dây cáp
cache	nơi giấu
cachet	dấu đặc biệt
capaciousness	cỡ rộng
fighter	chiến sĩ
figurante	nữ diễn viên đồng diễn ba-lê
figuration	hình tượng
get	kiếm được
gettable	có thể kiếm được
ghostly	như một bóng ma
ghoul	ma cà rồng
giantess	người đàn bà khổng lồ
gib	đinh kẹp
giddy	chóng mặt
gilding	sự mạ vàng
nauseous	tanh tưởi
nautilus	ốc anh vũ
navy	hải quân
near	gần
neaten	làm cho ngăn nắp
neck	cổ
pennon	cờ hiệu
pension	lương hưu
pensive	buồn
penstock	cửa cống
pent	bị nhốt
peony	cây mẫu đơn
people	dân tộc
pepper	hạt tiêu
qua	như, với tư cách là
quacksalver	lang băm
quadric	bậc hai
quaggy	bùn
quandary	tình thế lúng túng khó xử
quantum	định lượng
quarender	táo quaren
quarter	một phần tư
quartz	thạch anh
woolly	có lông len
wording	sự viết ra
wordless	lặng đi không nói được
work	sự làm việc
workable	có thể làm được
workday	ngày làm việc, ngày công
worker	người lao động, người làm việc
workshop	xưởng
world	thế giới, hoàn cầu, địa cầu
year	năm
yes	có
mean	nghĩa
mom	mẹ
man	đàn ông
make	làm
money	tiền
material	nguyên liệu
mommy	mẹ
mask	mặt nạ
map	bản đồ
may	tháng năm
hi	xin chào
